Slide TCGA-CJ-4641-11A-01-TS1.c0862be7-f3c0-418e-8476-dc88980a645c.svs Done. Slide Dimensions W=11500 H=4722, #Patches=47
Slide TCGA-CJ-4893-11A-01-TS1.2431ec2a-a407-4151-9b68-95cfebc1fa6f.svs Done. Slide Dimensions W=14000 H=3211, #Patches=22
Slide TCGA-A3-3376-11A-01-TS1.cf4dd813-b535-4917-9a76-c28c77ee29d6.svs Done. Slide Dimensions W=6500 H=5061, #Patches=42
Slide TCGA-CZ-5468-11A-01-TS1.2bf83d3d-2635-40e4-81d0-74984613bd6b.svs Done. Slide Dimensions W=9000 H=4571, #Patches=55
Slide TCGA-B0-5399-01A-01-BS1.634d1dff-911d-474e-88ab-b89369c3aefc.svs Done. Slide Dimensions W=2922 H=2566, #Patches=13
Slide TCGA-B0-4852-11A-01-TS1.6f58cdea-5433-485e-89cd-08e9a03da490.svs Done. Slide Dimensions W=8000 H=5839, #Patches=54
Slide TCGA-A3-3336-01A-01-BS1.386e4d76-c955-46e8-a177-01c60ed2b2a8.svs Done. Slide Dimensions W=5000 H=5493, #Patches=36
Slide TCGA-AK-3426-01A-01-TS1.a6b8dbaa-b8b9-488a-b78f-7d6700d8e542.svs Done. Slide Dimensions W=6000 H=4707, #Patches=53
Slide TCGA-BP-4804-01A-02-BS2.6cb41f57-cca9-485d-8eeb-2c0937b9d4d1.svs Done. Slide Dimensions W=9000 H=5593, #Patches=58
Slide TCGA-B0-4713-01A-01-BS1.1d57c15d-6cfe-45f2-83ec-c610ef6ba3a2.svs Done. Slide Dimensions W=7500 H=4976, #Patches=32
Slide TCGA-B0-4818-11A-01-TS1.4eb49327-1e4b-4dd6-98e1-fafdd578b854.svs Done. Slide Dimensions W=10500 H=2959, #Patches=24
Slide TCGA-A3-3362-01A-01-TS1.3cf734b2-0cba-477e-803e-5d97306b511c.svs Done. Slide Dimensions W=5000 H=5430, #Patches=17
Slide TCGA-CJ-4920-11A-01-TS1.42cab25b-d5e9-44d5-a03e-a65b4740e1a5.svs Done. Slide Dimensions W=9500 H=3651, #Patches=30
Slide TCGA-CJ-6032-11A-01-TS1.b34ad8d0-2a07-472d-9405-00baeeb60160.svs Done. Slide Dimensions W=22062 H=9411, #Patches=149
Slide TCGA-6D-AA2E-01A-01-TSA.FD152D89-2892-4DE1-90BF-AC40CF13A4F4.svs Done. Slide Dimensions W=17430 H=7246, #Patches=4
Slide TCGA-CJ-4642-01B-02-BS2.7f2265ae-1d0e-445d-a3fe-29d030743814.svs Done. Slide Dimensions W=15500 H=5611, #Patches=30
Slide TCGA-BP-4342-11A-01-TS1.803c3f46-b96d-4288-ba1b-236c5bb2785f.svs Done. Slide Dimensions W=7000 H=7869, #Patches=126
Slide TCGA-CJ-4635-01A-01-BS1.ccafe681-9568-43be-add9-fd25da5b8a7e.svs Done. Slide Dimensions W=17500 H=6425, #Patches=17
Slide TCGA-A3-3324-01A-01-TS1.6b9f8ddc-cb1a-4bb4-93d2-a1e7854e70c6.svs Done. Slide Dimensions W=5500 H=5657, #Patches=30
Slide TCGA-BP-4987-01A-01-BS1.7ff672cb-fce4-4009-8b0e-bbcd54d44b46.svs Done. Slide Dimensions W=6500 H=7132, #Patches=53
Slide TCGA-AK-3436-01A-01-BS1.4e91e3f2-5d3e-4b63-84f6-1ab5d1ea36f0.svs Done. Slide Dimensions W=4000 H=5424, #Patches=30
Slide TCGA-B2-5633-01B-03-BS3.06E95813-55FF-4A6A-819A-4380C23AFEAC.svs Done. Slide Dimensions W=11186 H=8652, #Patches=65
Slide TCGA-B0-5099-01A-01-BS1.c0b3dab1-0d8e-44cf-9988-2024869cc9aa.svs Done. Slide Dimensions W=12000 H=7369, #Patches=81
Slide TCGA-AK-3427-01A-01-BS1.3fe67a9b-bcac-4001-8e67-0685a4e31850.svs Done. Slide Dimensions W=5000 H=4859, #Patches=33
Slide TCGA-B0-4843-01A-01-TS1.50e3a2cb-5ca0-46d5-9fcb-c85d902cfb38.svs Done. Slide Dimensions W=7500 H=4020, #Patches=32
Slide TCGA-B4-5836-01A-01-BS1.81a9356a-5130-43ee-a52a-b6a55109fddd.svs Done. Slide Dimensions W=7434 H=7390, #Patches=55
Slide TCGA-A3-3374-01A-02-BS2.430d325c-c7a2-4a54-91c1-2794a548b111.svs Done. Slide Dimensions W=7000 H=4809, #Patches=35
Slide TCGA-CJ-4885-11A-01-TS1.58467ed8-f704-4387-baa5-3119573feb11.svs Done. Slide Dimensions W=11000 H=3791, #Patches=29
Slide TCGA-BP-4330-01A-01-TS1.117ebc3e-67e8-4e2c-bd7b-544236cae048.svs Done. Slide Dimensions W=5500 H=6425, #Patches=66
Slide TCGA-BP-4344-11A-01-TS1.9a8cb71b-74b9-4ac7-8748-8442c579fe76.svs Done. Slide Dimensions W=5000 H=7501, #Patches=51
Slide TCGA-DV-5569-01A-01-TS1.a55d4c7d-6fb9-4cc2-b159-cea822d4cfde.svs Done. Slide Dimensions W=14000 H=6811, #Patches=9
Slide TCGA-B0-5699-01A-01-BS1.e849745d-4c87-4379-983d-75f62d427be1.svs Done. Slide Dimensions W=7500 H=6311, #Patches=77
Slide TCGA-BP-4959-01A-01-TS1.e15ff131-0ee4-40f0-9835-01673dcbe666.svs Done. Slide Dimensions W=5000 H=7916, #Patches=49
Slide TCGA-BP-5004-01A-01-BS1.7271349c-bf09-483c-8e4a-f0e2b4cab26e.svs Done. Slide Dimensions W=8000 H=5040, #Patches=17
Slide TCGA-CW-5585-01A-01-TS1.08dbf72d-9d28-4267-89d6-bfab37f33096.svs Done. Slide Dimensions W=4000 H=3193, #Patches=14
Slide TCGA-CJ-5682-11A-01-TS1.a1f1d495-68b5-477e-aee2-56f77b891e60.svs Done. Slide Dimensions W=10312 H=4338, #Patches=36
Slide TCGA-BP-5170-01A-01-BS1.0cd21523-3edf-4281-ad6d-d1ceb7da111d.svs Done. Slide Dimensions W=10500 H=6720, #Patches=6
Slide TCGA-A3-3343-01A-01-BS1.79c964f5-ae92-447b-9fed-2317026f6ea6.svs Done. Slide Dimensions W=5500 H=3970, #Patches=33
Slide TCGA-BP-5189-01A-01-BS1.5158669c-0c34-4527-bee3-971c18f852ce.svs Done. Slide Dimensions W=8000 H=4182, #Patches=36
Slide TCGA-CZ-5989-01A-01-TS1.0d9fb54f-afe2-4a0c-a744-39ebb64a41c1.svs Done. Slide Dimensions W=17850 H=13575, #Patches=442
Slide TCGA-CZ-5456-11A-01-TS1.54113269-f3e4-4c5a-862e-71ea7289ea40.svs Done. Slide Dimensions W=8500 H=7052, #Patches=61
Slide TCGA-A3-A6NJ-11A-01-TS1.129CB7FA-9224-42F2-9F2C-9FFCA5C7445E.svs Done. Slide Dimensions W=9066 H=2183, #Patches=4
Slide TCGA-CZ-4856-11A-01-TS1.78423af9-13f0-4329-943a-b089d3e5b2ff.svs Done. Slide Dimensions W=6500 H=5824, #Patches=82
Slide TCGA-B2-5639-01A-01-BS1.c559a423-faf0-49c6-bea2-26e145521e3e.svs Done. Slide Dimensions W=21911 H=9818, #Patches=163
Slide TCGA-CZ-5989-01A-01-BS1.3d4444ff-f6f0-4863-b68e-b535e0f09b08.svs Done. Slide Dimensions W=16067 H=11518, #Patches=137
Slide TCGA-B8-4151-01A-01-BS1.0111d40b-954f-4743-8fea-8223d9f22fc9.svs Done. Slide Dimensions W=5500 H=3556, #Patches=22
Slide TCGA-BP-5186-01A-01-TS1.cc1d8007-a095-41d7-ac83-ee3478d1b44e.svs Done. Slide Dimensions W=4500 H=5014, #Patches=45
Slide TCGA-A3-3317-01A-01-BS1.45f7314f-2cfd-42b5-bf32-0af5e7599806.svs Done. Slide Dimensions W=6500 H=5509, #Patches=67
Slide TCGA-CW-5583-11A-01-TS1.6094920a-3bb4-43f3-a5b4-137e7996fb54.svs Done. Slide Dimensions W=5000 H=4159, #Patches=36
Slide TCGA-BP-4968-01A-01-BS1.81e2ce12-49c7-43d7-86a8-8f32e570d627.svs Done. Slide Dimensions W=8500 H=8294, #Patches=83
Slide TCGA-A3-3370-01A-02-BS2.136010c2-0660-481a-b13b-a7dc4da9af6d.svs Done. Slide Dimensions W=5500 H=4800, #Patches=44
Slide TCGA-B8-A54D-01A-02-TS2.C3F86ECE-94E1-4D0D-9AF8-E0021DA29A55.svs Done. Slide Dimensions W=23086 H=6676, #Patches=39
Slide TCGA-B0-4839-01A-01-TS1.a0488a6b-a727-4858-a9fe-e3bcbdf42cf3.svs Done. Slide Dimensions W=11500 H=1087, #Patches=0
